,,,,,,,,,,,,,woSMix,woSMix,woSMix,wSMix,wSMix,wSMix,woSOld,woSOld,woSOld,wSOld,wSOld,wSOld,woSNew,woSNew,woSNew,wSNew,wSNew,wSNew
,LateralNodeAmount,PortraitNodeAmount,TotalVictims,CorridorLimit,SP,CAESMixDL,CAESOldDL,CAESNewDL,MSCG,ESSPlus,LEGS,HEXInc,HighestDL-DI-D,SelfDL-STD,SelfDL-DI,HighestDL-DI-STD,SelfDL-STD,SelfDL-DI,HighestDL-DI-STD,SelfDL-STD,SelfDL-DI,HighestDL-DI-STD,SelfDL-STD,SelfDL-DI,HighestDL-DI-STD,SelfDL-STD,SelfDL-DI,HighestDL-DI-STD,SelfDL-STD,SelfDL-DI
